0	#Tax ID	Gene ID	PubMed ID (PMID) list	last update timestamp	GeneRIF text
1	1338034	16894799	23563952	2013-11-02 11:36	AhpC plays a role in the induction and maintenance of a viable but nonculturable state in Vibrio parahaemolyticus.
2	1338034	16976903	23623501	2013-12-21 10:34	VopZ inhibits activation of the kinase TAK1 and thereby prevents the activation of MAPK and NF-kappaB signaling pathways, which lie downstream. (Vopz protein)
3	1380773	17108704	23722851	2014-01-11 11:08	Recombinant hyaluronate lyase is expressed and crystallized by vapor-diffusion.
4	1394889	17872783	24215428	2014-03-08 10:40	The active form of TeCpcS-III is a dimer, which is consistent with the structure observed in the crystal.
5	1415167	17704278	23783036	2014-03-01 10:17	MreB has an extended-filament architecture with the potential to position membrane proteins over long distances in Bacillus subtilis.
6	1415167	17705026	23855774	2014-03-22 10:32	Here, authors show that the ATP-binding cassette transporter-like FtsEX complex is required for CwlO activity.
7	1415167	17705075	23855774	2014-03-22 11:44	Here, authors show that the ATP-binding cassette transporter-like FtsEX complex is required for CwlO activity.
8	1415167	17705076	23855774	2014-03-22 11:44	Here, authors show that the ATP-binding cassette transporter-like FtsEX complex is required for CwlO activity.
9	1415167	17732959	23859254	2014-03-22 11:49	Authors demonstrate that localization of SpoIIQ is achieved by two pathways: SpoIIIAH and the SpoIID, SpoIIM, SpoIIP engulfment proteins.[SpoIIQ]
10	1415167	17732959	23879732	2014-03-22 10:37	results indicate RodZ is an essential protein and downregulation of RodZ expression causes formation of shorter and rounder cells; found direct interaction between RodZ and MreB, MreBH, Mbl and MreD; demonstrated that RodZ is an important part of the cell shape determining network [RodZ]
11	1415629	17857544	23760555	2014-03-15 10:07	The residues Ser187 and Tyr422 are involved in substrate recognition in the 3-methylcrotonyl-coenzyme A carboxylase from Pseudomonas aeruginosa.
12	1472342	16836481	23804647	2013-11-30 12:41	The PKA recognition motif that partially overlaps the E6 PDZ-binding domain in the HPV18 genome (E6153PKA)was mutated and the effect of this mutation on the HPVl8 life cycle in primary keratinocytes WAS compared with the wild-type genome.
